technique, class, count
T1547.006 0 4
T1216.001 1 1
T1078.001 2 3
T1137.001 3 1
T1137.006 4 5
T1027 5 9
T1124 6 5
T1125 7 1
T1557.001 8 1
T1055.003 9 1
T1543.002 10 3
T1123 11 3
T1070.002 12 20
T1137.002 13 1
T1542.001 14 1
T1020 15 2
T1039 16 2
T1564.004 17 5
T1027.007 18 1
T1555.001 19 3
T1027.006 20 1
T1055.012 21 4
T1555.004 22 2
T1091 23 1
T1059.007 24 2
T1119 25 4
T1071 26 1
T1216 27 2
T1070.001 28 3
T1136.003 29 3
T1098.003 30 2
T1485 31 4
T1574.008 32 1
T1484.001 33 2
T1563.002 34 1
T1218.011 35 14
T1497.001 36 5
T1056.001 37 8
T1486 38 9
T1550.002 39 3
T1606.002 40 1
T1546.009 41 1
T1047 42 10
T1574.009 43 1
T1219 44 12
T1562.001 45 52
T1059.002 46 1
T1572 47 4
T1562.002 48 7
T1078.003 49 12
T1114.003 50 1
T1552.005 51 2
T1036.004 52 3
T1546.012 53 3
T1016 54 9
T1546.008 55 4
T1087.001 56 10
T1048.003 57 6
T1556.003 58 3
T1573 59 1
T1558.002 60 1
T1127.001 61 2
T1547.015 62 2
T1654 63 2
T1078.004 64 3
T1567.002 65 1
T1558.004 66 3
T1609 67 2
T1552.001 68 12
T1546.015 69 4
T1217 70 9
T1564.006 71 3
T1132.001 72 3
T1543.003 73 6
T1014 74 4
T1112 75 69
T1071.004 76 4
T1552.004 77 14
T1562.006 78 9
T1547.012 79 1
T1546.010 80 1
T1090.001 81 3
T1552.006 82 2
T1218.001 83 8
T1003.003 84 9
T1059 85 1
T1036.005 86 2
T1098 87 17
T1530 88 3
T1055.001 89 2
T1053.006 90 3
T1003.007 91 4
T1136.001 92 9
T1569.001 93 1
T1562.008 94 10
T1546.005 95 4
T1098.001 96 3
T1546 97 4
T1571 98 2
T1030 99 2
T1176 100 1
T1134.001 101 5
T1021.003 102 2
T1547.005 103 2
T1547 104 1
T1547.009 105 2
T1110.004 106 4
T1053.007 107 2
T1003.004 108 1
T1505.005 109 2
T1546.003 110 3
T1574.001 111 1
T1197 112 4
T1564.003 113 2
T1095 114 3
T1207 115 1
T1221 116 1
T1574.012 117 3
T1007 118 3
T1046 119 10
T1546.011 120 3
T1127 121 2
T1070 122 2
T1569.002 123 6
T1040 124 16
T1546.001 125 1
T1070.003 126 12
T1547.002 127 1
T1037.001 128 1
T1083 129 7
T1562 130 3
T1619 131 1
T1558.001 132 2
T1129 133 1
T1614.001 134 6
T1548.001 135 10
T1615 136 5
T1074.001 137 3
T1218.003 138 2
T1546.007 139 1
T1069.001 140 7
T1036 141 2
T1070.006 142 9
T1055 143 13
T1505.002 144 1
T1529 145 14
T1003.006 146 2
T1528 147 1
T1003.008 148 5
T1649 149 1
T1526 150 1
T1550.003 151 2
T1057 152 6
T1539 153 3
T1110.003 154 9
T1574.006 155 3
T1056.004 156 1
T1134.004 157 5
T1547.010 158 1
T1036.006 159 1
T1041 160 2
T1543.001 161 2
T1001.002 162 2
T1049 163 4
T1110.002 164 1
T1547.014 165 3
T1037.004 166 3
T1003.001 167 13
T1133 168 1
T1553.004 169 7
T1098.002 170 1
T1053.005 171 10
T1106 172 5
T1048.002 173 2
T1055.004 174 3
T1592.001 175 1
T1562.003 176 11
T1037.005 177 1
T1027.004 178 5
T1033 179 7
T1496 180 1
T1021.004 181 1
T1546.014 182 1
T1218.007 183 11
T1059.005 184 3
T1027.002 185 4
T1518.001 186 10
T1135 187 10
T1566.001 188 2
T1222.002 189 14
T1546.002 190 1
T1552.003 191 2
T1218.010 192 5
T1220 193 4
T1018 194 21
T1564 195 5
T1115 196 5
T1574.002 197 2
T1556.002 198 1
T1555.003 199 17
T1547.004 200 5
T1546.013 201 1
T1547.001 202 17
T1613 203 2
T1218 204 15
T1546.004 205 7
T1559.002 206 1
T1218.008 207 2
T1482 208 8
T1204.002 209 11
T1560.002 210 4
T1056.002 211 3
T1218.002 212 1
T1547.003 213 2
T1547.007 214 3
T1552 215 1
T1059.003 216 6
T1204.003 217 1
T1531 218 8
T1574.011 219 2
T1560.001 220 10
T1070.004 221 10
T1562.009 222 1
T1140 223 10
T1059.006 224 4
T1222.001 225 5
T1021.005 226 1
T1559 227 5
T1136.002 228 5
T1090.003 229 4
T1620 230 1
T1114.001 231 1
T1012 232 3
T1071.001 233 3
T1505.003 234 1
T1553.001 235 1
T1098.004 236 1
T1218.004 237 8
T1567.003 238 1
T1055.011 239 1
T1021.001 240 4
T1059.001 241 21
T1005 242 2
T1021.002 243 4
T1558.003 244 7
T1491.001 245 2
T1113 246 8
T1218.005 247 10
T1201 248 12
T1562.004 249 23
T1036.003 250 9
T1553.003 251 1
T1555 252 8
T1137 253 1
T1543.004 254 1
T1105 255 29
T1137.004 256 1
T1611 257 2
T1010 258 1
T1518 259 6
T1006 260 1
T1134.005 261 1
T1110.001 262 8
T1552.007 263 3
T1003.002 264 7
T1072 265 2
T1218.009 266 2
T1195 267 1
T1003 268 6
T1570 269 2
T1484.002 270 1
T1069.002 271 15
T1564.002 272 3
T1048 273 3
T1610 274 1
T1562.010 275 3
T1490 276 11
T1547.008 277 1
T1548.002 278 26
T1055.015 279 1
T1053.003 280 4
T1553.005 281 4
T1055.002 282 1
T1489 283 3
T1505.004 284 2
T1580 285 1
T1612 286 1
T1552.002 287 2
T1053.002 288 2
T1070.005 289 5
T1564.001 290 10
T1003.005 291 1
T1087.002 292 24
T1187 293 2
T1021.006 294 3
T1082 295 33
T1070.008 296 6
T1134.002 297 2
T1027.001 298 2
T1120 299 3
T1059.004 300 13
