technique, class, count
T1547 0 45
T1216 1 3
T1078 2 18
T1137 3 9
T1027 4 22
T1124 5 5
T1125 6 1
T1557 7 1
T1055 8 26
T1543 9 12
T1123 10 3
T1070 11 67
T1542 12 1
T1020 13 2
T1039 14 2
T1564 15 28
T1555 16 30
T1091 17 17
T1059 18 51
T1119 19 4
T1071 20 8
T1136 21 17
T1098 22 24
T1485 23 4
T1574 24 13
T1484 25 3
T1563 26 1
T1218 27 78
T1497 28 5
T1056 29 12
T1486 30 9
T1550 31 12
T1606 32 1
T1546 33 39
T1047 34 10
T1219 35 12
T1562 36 119
T1572 37 4
T1114 38 2
T1552 39 38
T1036 40 17
T1016 41 9
T1087 42 34
T1048 43 11
T1556 44 4
T1573 45 1
T1558 46 13
T1127 47 4
T1654 48 2
T1567 49 2
T1609 50 2
T1217 51 9
T1132 52 3
T1014 53 4
T1112 54 69
T1090 55 7
T1003 56 48
T1530 57 3
T1053 58 21
T1569 59 7
T1571 60 2
T1030 61 2
T1176 62 1
T1134 63 13
T1021 64 38
T1110 65 22
T1505 66 6
T1197 67 4
T1095 68 3
T1207 69 1
T1221 70 1
T1007 71 3
T1046 72 10
T1040 73 16
T1037 74 5
T1083 75 7
T1619 76 1
T1129 77 1
T1614 78 6
T1548 79 42
T1615 80 5
T1074 81 3
T1069 82 22
T1529 83 14
T1528 84 1
T1649 85 1
T1526 86 1
T1057 87 6
T1539 88 3
T1041 89 2
T1001 90 2
T1049 91 4
T1133 92 1
T1553 93 13
T1106 94 5
T1592 95 1
T1033 96 7
T1496 97 1
T1518 98 16
T1135 99 10
T1566 100 2
T1222 101 19
T1220 102 4
T1018 103 21
T1115 104 5
T1613 105 2
T1559 106 6
T1482 107 8
T1204 108 12
T1560 109 15
T1531 110 8
T1140 111 10
T1620 112 1
T1012 113 3
T1005 114 2
T1491 115 2
T1113 116 8
T1201 117 12
T1105 118 29
T1611 119 2
T1010 120 1
T1006 121 1
T1072 122 2
T1195 123 1
T1570 124 26
T1610 125 1
T1490 126 11
T1489 127 3
T1580 128 1
T1612 129 1
T1187 130 2
T1082 131 33
T1120 132 3
T1202 133 3
T1534 134 14
T1080 135 16
T1210 136 2
